Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8893,0.8830938791576461,0.8974,0.8901894653308203
Random Forest,0.852,0.8602128530495292,0.8406,0.8502933441230022
KNN,0.7435,0.7139342821999649,0.8126,0.7600785707604527
Neural Network,0.8682000041007996,0.8563685636856369,0.8848,0.8703521542396223
